time,dlh,xlh,sy
2023-05-11T15:51:30.09Z,0,0,0
2023-05-11T19:55:30.096Z,0,0,1.25
2023-05-11T23:59:30.102Z,0,0,0
2023-05-12T04:03:30.108Z,8.4,7.2,0.6
2023-05-12T08:07:30.114Z,2.5,0,2.75
2023-05-12T12:11:30.12Z,0,0,0
2023-05-12T16:15:30.126Z,0,0,0
2023-05-12T20:19:30.132Z,0,0,1
2023-05-13T00:23:30.138Z,0,0,0
2023-05-13T04:27:30.144Z,3,7.75,1.5
2023-05-13T08:31:30.15Z,5,0,3
2023-05-13T12:35:30.156Z,0,0,0
2023-05-13T16:39:30.162Z,0,0,0
2023-05-13T20:43:30.168Z,0,4,0.5
2023-05-14T00:47:30.174Z,0,0,0
2023-05-14T04:51:30.18Z,7.5,0,1.75
2023-05-14T08:55:30.186Z,5.25,0,0.25
2023-05-14T12:59:30.192Z,0,0,0
2023-05-14T17:03:30.198Z,0,0,0.8
2023-05-14T21:07:30.204Z,0,0,0
2023-05-15T01:11:30.21Z,2.75,9,4
2023-05-15T05:15:30.216Z,0,0,0
2023-05-15T09:19:30.222Z,20.25,0,1
2023-05-15T13:23:30.228Z,0,0,0
2023-05-15T17:27:30.234Z,0,0,0.75
2023-05-15T21:31:30.24Z,0,0,0
2023-05-16T01:35:30.246Z,2.75,7.25,1.5
2023-05-16T05:39:30.252Z,0,0,0
2023-05-16T09:43:30.258Z,8,0,0
2023-05-16T13:47:30.264Z,0,0,0
2023-05-16T17:51:30.27Z,0,0,1
2023-05-16T21:55:30.276Z,0,0,0
2023-05-17T01:59:30.282Z,2.75,6,0
2023-05-17T06:03:30.288Z,0,0,0
2023-05-17T10:07:30.294Z,15,0,0.25
2023-05-17T14:11:30.3Z,0,0,0
2023-05-17T18:15:30.306Z,0,0,2.75
2023-05-17T22:19:30.312Z,0,0,0
2023-05-18T02:23:30.318Z,5.75,10.25,2.25
2023-05-18T06:27:30.324Z,0,0,0
2023-05-18T10:31:30.33Z,2.75,0,0
2023-05-18T14:35:30.336Z,0,0,0
2023-05-18T18:39:30.342Z,0,0,1
2023-05-18T22:43:30.348Z,0,0,0
2023-05-19T02:47:30.354Z,8,7.5,0
2023-05-19T06:51:30.36Z,0,0,0
2023-05-19T10:55:30.366Z,5.25,0,0
2023-05-19T14:59:30.372Z,0,0,0
2023-05-19T19:03:30.378Z,0,0,1
2023-05-19T23:07:30.384Z,0,0,0
2023-05-20T03:11:30.39Z,7.75,14.25,0
2023-05-20T07:15:30.396Z,2.5,0,2
2023-05-20T11:19:30.402Z,0,0,0
2023-05-20T15:23:30.408Z,0,0,0
2023-05-20T19:27:30.414Z,0,0,0.75
2023-05-20T23:31:30.42Z,0,0,0
2023-05-21T03:35:30.426Z,0,8.25,0
2023-05-21T07:39:30.432Z,17.75,0,0
2023-05-21T11:43:30.438Z,0,0,0
2023-05-21T15:47:30.444Z,0,0,0
2023-05-21T19:51:30.45Z,0,7,1.25
2023-05-21T23:55:30.456Z,0,0,0
2023-05-22T03:59:30.462Z,5,0,0
2023-05-22T08:03:30.468Z,4.2,0,0
2023-05-22T12:07:30.474Z,0,0,0
2023-05-22T16:11:30.48Z,0,0,0
2023-05-22T20:15:30.486Z,0,0,1
2023-05-23T00:19:30.492Z,0,0,0
2023-05-23T04:23:30.498Z,0.25,10.75,0
2023-05-23T08:27:30.504Z,15.25,0,0
2023-05-23T12:31:30.51Z,0,0,0
